163	TPLP	Theory and Practice of Logic Programming	http://www.cs.kuleuven.ac.be/~dtai/projects/ALP/TPLP/
164	SLOGICA	Studia Logica - An International Journal for Symbolic Logic	http://www.kluweronline.com/issn/0039-3215
165	MVA	Machine Vision and Applications	http://link.springer.de/link/service/journals/00138/index.htm
166		Markup Languages	
167	MLQ	Mathematical Logic Quarterly	http://www3.interscience.wiley.com/cgi-bin/jtoc?ID=60500242
168	TOMS	ACM Transactions on Mathematical Software	http://www.acm.org/toms
169	MSCS	Mathematical Structures in Computer Science	http://journals.cambridge.org/action/displayJournal?jid=MSC
170	MST	Theory of Computing Systems / Mathematical Systems Theory	http://link.springer.de/link/service/journals/00224/index.htm
171	AMAI	Annals of Mathematics and Artificial Intelligence	http://www.wkap.nl/prod/j/1012-2443
172	MISQ	Management Information Systems Quarterly	http://www.misq.org/
173	MONET	Mobile Networks and Applications	http://www.wkap.nl/prod/j/1383-469X
174	TOMACS	ACM Transactions on Modeling and Computer Simulation	http://www.linklings.net/tomacs/
175	UMUAI	User Modeling and User-adapted Interaction	http://www.kluweronline.com/issn/0924-1868
176	MMS	Multimedia Systems	http://www.springerlink.com/content/100377/
177	MTA	Multimedia Tools and Applications	http://www.wkap.nl/kapis/CGI-BIN/WORLD/journalhome.htm?1380-7501
178	NC	Natural Computing	http://www.kluweronline.com/issn/1567-7818
180	NIS	Networking and Information Systems Journal	
181		Networks	http://www.interscience.wiley.com/jpages/0028-3045/
182	CN	Computer Networks and Isdn Systems	www.sciencedirect.com/science/journal/01697552
183	NECO	Neural Computation	http://neco.mitpress.org/
184	NGC	New Generation Computing	http://www.ohmsha.co.jp/ngc/
185		New Review of Hypermedia and Multimedia / Hypermedia	
186	NJC	Nordic Journal of Computing	http://www.cs.helsinki.fi/njc/
188	NAR	Nucleic Acids Research	http://nar.oupjournals.org/
189	LOBJET	Logiciel, Base De Données, Réseaux / Software, Databases, Networks	http://objet.e-revues.com/
190	SIGOPS	Operating Systems Review	http://www.sigops.org/osr.html
192	PAAPP	Parallel Algorithms and Applications	http://taylorandfrancis.metapress.com/openurl.asp?genre=journal&issn=1063-7192
193	DPD	Distributed and Parallel Databases	http://www.springerlink.com/content/100257/
194	PC	Parallel Computing	www.elsevier.com/locate/parco
195	PPL	Parallel Processing Letters	http://www.worldscinet.com/ppl/ppl.shtml
196	PAA	Pattern Analysis and Applications	http://www.springerlink.com/openurl.asp?genre=journal&issn=1433-7541
197	PE	Performance Evaluation	www.elsevier.com/locate/peva
198	SIGMETRICS	Sigmetrics Performance Evaluation Review	http://www.sigmetrics.org/per.shtml
199	SCP	Science of Computer Programming	www.elsevier.com/locate/scico
200	TOPLAS	ACM Transactions on Programming Languages and Systems	http://www.acm.org/toplas/
201		ACM Queue	http://www.acmqueue.org/
202	QUESTA	Queueing Systems - Theory and Applications	http://www.wkap.nl/prod/j/0257-0130
203	RSA	Random Structures and Algorithms	http://www.interscience.wiley.com/jpages/1042-9832/
204	RTS	Real-time Systems	http://www.wkap.nl/journalhome.htm/0922-6443
205	RE	Requirements Engineering	http://link.springer.de/link/service/journals/00766/index.htm
207	RITA	Revista De Informática Teórica E Aplicada	http://www.seer.ufrgs.br/index.php/rita/index
208	AROBOTS	Autonomous Robots	http://www.wkap.nl/journalhome.htm/0929-5593
209	CACM	Communications of The ACM	http://cacm.acm.org/
210	CSUR	ACM Computing Surveys	http://www.acm.org/surveys
211	XRDS	ACM Crossroads Student Magazine	http://xrds.acm.org/
213	DR	ACM Sigmod Digital Review	http://www.eecs.umich.edu/digital-review/
215	SIGPLAN	Sigplan Notices	http://portal.acm.org/browse_dl.cfm?idx=J706
216	STANDARDVIEW	ACM Standardview	http://portal.acm.org/browse_dl.cfm?idx=J741
218	TALIP	ACM Transactions on Asian Language Information Processing	http://talip.acm.org/
219	TOCL	ACM Transactions on Computational Logic	http://www.acm.org/tocl
220	TOCHI	ACM Transactions on Computer-human Interaction	http://www.acm.org/tochi/
221	TOCS	ACM Transactions on Computer Systems	http://info.acm.org/tocs/
222	TODS	ACM Transactions on Database Systems	http://www.acm.org/tods
223	TODAES	ACM Transactions on Design Automation of Electronic Systems	http://www.acm.org/pubs/todaes/
224	TECS	ACM Transactions in Embedded Computing Systems	http://www.acm.org/tecs/
225	TOG	ACM Transactions on Graphics	http://www.acm.org/tog/
226	TOSEM	ACM Transactions on Software Engineering and Methodology	http://www.acm.org/tosem/
227	ACTAC	Acta Cybernetica	http://www.inf.u-szeged.hu/kutatas/actacybernetica/starthu.xml
228	ACTA	Acta Informatica	http://link.springer.de/link/service/journals/00236/index.htm
229	AC	Advances in Computers	http://www.harcourt-international.com/serials/computers/
230	AAMAS	Autonomous Agents and Multi-agent Systems	http://www.wkap.nl/journalhome.htm/1387-2532
231	AIS	Ai & Society	http://link.springer.de/link/service/journals/00146/index.htm
232	AICOM	Ai Communications	http://iospress.metapress.com/openurl.asp?genre=journal&issn=0921-7126
233	AIM	Ai Magazine	www.aaai.org/Magazine/magazine.php
234		Algorithmica	http://www.springerlink.com/openurl.asp?genre=journal&issn=0178-4617
235	AAECC	Applicable Algebra in Engineering, Communication and Computing	http://link.springer.de/link/service/journals/00200/index.htm
236	WI	Wirtschaftsinformatik / Angewandte Informatik	http://www.wirtschaftsinformatik.de/
237	APAL	Annals of Pure and Applied Logic	www.elsevier.com/locate/apal
238	ANSOFT	Annals of Software Engineering	http://www.wkap.nl/prod/j/1022-7091
239	AAI	Applied Artificial Intelligence	http://www.tandf.co.uk/journals/tf/08839514.html
240	ASC	Applied Soft Computing	http://www.sciencedirect.com/science/journal/15684946
241	ARSCOM	Ars Combinatoria	http://www.combinatorialmath.ca/ArsCombinatoria/index.html
242	AI	Artificial Intelligence	http://www.elsevier.com/locate/artint
243	ETAI	Electronic Transactions on Artificial Intelligence	http://www.etai.info/
244	ARTMED	Artificial Intelligence in Medicine	www.elsevier.com/locate/artmed
245	AIR	Artificial Intelligence Review	http://www.springer.com/computer/ai/journal/10462
246	ALIFE	Artificial Life	www.mitpressjournals.org/loi/artl
247	ASE	Automated Software Engineering	http://www.wkap.nl/journalhome.htm/0928-8910
248		Science	http://www.sciencemag.org/
249		Sigecom Exchanges	http://www.acm.org/sigecom/exchanges/
250		Sigir Forum	www.sigir.org/forum/
251		Sigkdd Explorations	http://www.sigkdd.org/index.php
253		Sigmod Record	www.sigmod.org/record
254	SIMPRA	Simulation Practice and Theory	www.sciencedirect.com/science/journal/09284869
255	SOCO	Soft Computing	http://www.springer.com/engineering/mathematical/journal/500
256	SOSYM	Software and System Modeling	http://www.sosym.org/
257	STP	Software - Concepts and Tools / Structured Programming	http://link.springer.de/link/service/journals/00378/index.htm
258	SOFO	Software Focus	http://www.interscience.wiley.com/jpages/1529-7942/
259	SPE	Software - Practice and Experience	http://www.interscience.wiley.com/jpages/0038-0644/
