615887	Anthony G. Greenwald		18939
616984	Mark B. Ginsburg		20540
617539	Kimmo Kaski		4104
622228	Thomas B. Ward	Tom	16881
624045	Keith William Hipel		9225
625283	Raymond Jones		14113
631486	Naomi Rosh White		12781
634195	Patrick Doreian		737
635449	Richard E. Tremblay		17258
635829	Greg J. Duncan		16759
636411	Anne P. DePrince		3445
636962	Timothy M. Smeeding		19084
638106	Ola Olsson		9277
638251	John H. Rogers		3120
639388	Stephanie Luce		20345
640752	Moses A. Boudourides		18243
642369	James A. Hendler	Jim	14697
643372	Linton C. Freeman		16759
643417	Hendrik P. van Dalen		2374
643533	Andre de Palma	André de Palma	16742
644382	Sally Wyatt		2374
646357	Francis Jeffry Pelletier		15154
647193	Rexford E. Santerre		16795
647551	Krishna B. Kumar		1142
647637	Cristy Ho		13881
652069	CAROL MENDEZ CASSELL		3939
655258	Howard Rosenthal		14253
655323	D. James Baker		14919
655597	Ronald U. Mendoza		20769
656789	David N. Cole		17249
656950	Matthew A. Zook		17118
659976	Stevan R. Harnad		3146
660025	Anne Rogers		16754
661419	Floor Rikken		2420
661457	Jiang Ping Fan		15255
662568	Elizabeth J. Z. Robinson		18935
663684	Brian Nolan		16728
663844	Qin Li		13364
664069	Michael F. Goodchild		661
665141	Sasank K. Reddy		16766
665579	Leslie. T. C. Wang		566
666105	Keith N. Hampton		18264
666654	Paul A. Longley		3157
667064	Andy Mckinlay		7306
667629	Caterina M. Scoglio		11762
668813	John Wright		6375
670000	Erik Christensen		1546
671453	Jeffrey Grogger		16754
672575	Alessandro Aurigi		1403
674700	Christopher J. Hogan		14207
674772	Mark A. Hasegawa-Johnson		687
675315	Satoshi Fujii	藤井誠志	1255
677387	Hee-Jin Lee Lee		19512
680664	Steven N. Evans		566
681989	Christine E. Hine		15837
683539	Jacquelynne S. Eccles		17233
685277	Janet M. Currie		6375
686722	Michael Lee Anderson		18520
686865	Eva-Maria Merz		20898
690426	Charles I. Jones		405
690661	Maria Francesca Costabile		17478
691807	Nicolas Marmaras		13566
691872	Mark Aakhus		14761
691910	Carsten Ullrich		15377
692571	Matthew Butler		19513
692834	Starr Roxanne Hiltz		13361
693533	Felix K. Rioja		3499
693669	Yrjo Engestrom	Yrjö Engeström	1599
696715	Carter T. Butts		16759
697536	David Dranove		13470
697558	Mark H. M. Winands		17666
700627	D. Marc Kilgour		19115
700650	Peter M. Atkinson		3146
701683	Lawrence S. Moss		10565
701868	John C. Pierce		19285
704029	Timothy D Schoechle		6364
704580	Jason R. Fitzsimmons		14487
704665	Caroline Haythornthwaite		14919
706719	Imtiaz Ahmad		18266
709280	Karl E. Case		18981
709697	Li Zhou		9221
709865	Suzanne Duryea		20726
710286	Padmanabhan Krishnan		5392
712192	Michael J. Rovine		14286
718578	Panos Tsakloglou		4894
718900	Hiroaki Ogata		16310
719869	Massimo Mecella		17791
720370	Gang Cheng		15978
720430	Richard A. Young		568
721808	Dirk Helbing		3157
722301	Arthur C. Graesser		12517
724515	Simon Gächter		13484
727150	Peter Gregor		7144
728086	Jeffrey G. Reitz		16371
