2098778	1	41801719	Edwin H. Rogers	0
2098778	2	54081279	Cynthia R. Haller	0
2098781	0	10730593	Dorothy A. Winsor	0
2103994	0	1030343	RONALD E. RICE	0
2103994	1	51259408	GAIL LOVE	0
2108547	0	10685699	N. P. Hummon	0
2108547	1	634195	P. Doreian	0
2108547	2	643372	L. C. Freeman	0
2111952	0	10689901	Thierry Bardini	0
2111952	1	53696447	August T. Horvath	0
2113562	0	997601	RUSSELL SPEARS	0
2113562	1	278220	MARTIN LEA	0
2115869	0	36898698	C. K. Tomoeda	0
2115869	1	54724426	K. A. Bayles	0
2115869	2	50927131	D. R. Boone	0
2115869	3	42239250	A. W. Kaszniak	0
2117323	0	34125616	M. NYSTRAND	0
2118042	0	42190678	GAVRIEL SALOMON	0
2119360	0	42239287	W. CHAFE	0
2124228	0	42239647	King-Kui Sin	0
2124228	1	44585417	Derek Roebuck	0
2127397	0	42230334	CHARLES R. BERGER	0
2127397	1	34138059	RICHARD J. CALABRESE	0
2134017	0	18006711	Julie A. Fiez	737
2134936	0	3471979	MATTHEW LOMBARD	0
2136605	0	147737	Judee K. Burgoon	845
2136605	1	23824618	Jerold L. Hale	12612
2146512	0	1188053	Deb Roy	568
2285863	0	134510	Amy Bruckman	9014
2368606	0	42243441	Jonathan Steuer	0
2383692	0	18021148	Robyn Carston	3157
2385521	0	2016572	J. Wesley Regian	0
2385521	1	46323695	Wayne L. Shebilske	0
2385521	2	47650219	John M. Monk	0
2398381	0	51256048	K. FERRARA	0
2398381	1	47764619	H. BRUNNER	0
2398381	2	45368527	G. WHITTEMORE	0
2411806	0	1616425	Harold L. Somers	0
2546972	0	41975414	L. W. Rosenfield	19084
2547787	0	56543283	Michael Pfau	0
2550976	0	147737	JUDEE K. BURGOON	0
2552267	0	47203774	Shari Cohen	0
2595081	0	52653815	Stanley E. Jones	6364
2595081	1	52594624	A. Elaine Yarbrough	6364
2608470	0	23163224	Alan Cruttenden	0
2616781	0	50879124	William F. Kwolek	0
2629254	0	42251770	P. J. BEAUVAIS	0
2638046	0	34134381	Russell J. Dalton	0
2638046	1	34150357	Paul Allen Beck	0
2638046	2	23911518	Robert Huckfeldt	0
2638046	3	34646648	William Koetzle	0
2638087	0	54382386	Michael E. Holmes	18533
2638087	1	42548610	Richard E. Sykes	17249
2641572	0	10724710	John G. Geier	0
2654984	0	49471402	Helen M. Robinshaw	0
2655079	0	50527017	Walter Gieber	0
2657770	0	23403120	LAURA STAFFORD	0
2657770	1	18265395	VINCENT R. WALDRON	0
2657770	2	2650436	LINDA L. INFIELD	0
2667717	0	34152329	Vickie Rutledge Shields	0
2669432	0	4164704	Chris Segrin	845
