602874	9	Polarized Process Algebra and Program Equivalence
602877	9	Constraint Satisfaction Problems in Non-deterministic Logarithmic Space
602882	9	Optimal Coding and Sampling of Triangulations
602884	9	Impact of Local Topological Information on Random Walks on Finite Graphs
602886	9	Combinatorics of Three-Interval Exchanges
602892	9	Distributed Controller Synthesis for Local Specifications
602893	9	Discounting the Future in Systems Theory
602898	9	Real-Time Scheduling with a Budget
602910	9	Introduction: Approximation and Randomized Algorithms in Communication Networks
602918	9	Fully-Abstract Statecharts Semantics via Intuitionistic Kripke Models
602932	9	Convergence Time to Nash Equilibria
602934	9	Bisimulation Proof Methods for Mobile Ambients
602936	9	Removable Online Knapsack Problems
602940	9	Can Graph Grammars Make Formal Methods More Human?
602945	9	Constraint Satisfaction Problems and Finite Algebras
602946	9	Hierarchical and Recursive State Machines with Context-Dependent Properties
602948	9	Resource Augmentation for Online Bounded Space Bin Packing
602954	9	Control Message Aggregation in Group Communication Protocols
602979	9	Decision Questions Concerning Semilinearity, Morphisms, and Commutation of Languages
602990	9	Faster Gossiping on Butterflies
602993	9	Algorithmic Aspects of Bandwidth Trading
603006	9	Improved Results for Stackelberg Scheduling Strategies
603010	9	Quantum and Stochastic Branching Programs of Bounded Width
603012	9	Axiomatizations for Probabilistic Bisimulation
603014	9	Histogramming Data Streams with Fast Per-Item Processing
603020	9	Total Colorings of Degenerated Graphs
603021	9	An Improved Approximation Algorithm for Vertex Cover with Hard Capacities
603025	9	Communication Gap for Finite Memory Devices
603026	9	Church-Rosser Languages vs. UCFL
603030	9	Upper Bounds for a Theory of Queues
603033	9	Polynomial-Time Approximation Schemes for the Euclidean Survivable Network Design Problem
603036	9	A Characterization of Temporal Locality and Its Portability across Memory Hierarchies
603038	9	Deterministic Algorithms for k-SAT Based on Covering Codes and Local Search
603048	9	Counterexample-Guided Control
603049	9	On Deciding if Deterministic Rabin Language Is in Büchi Class
603056	9	Wagner's Theorem on Realizers
603057	9	Function Matching: Algorithms, Applications, and a Lower Bound
603076	9	Efficient Automatic Simulation of Parallel Computation on Network of Workstations
603081	9	A New Unfolding Approach to LTL Model Checking
603086	9	There Are Spanning Spiders in Dense Graphs (and We Know How to Find Them)
603087	9	Coloring Circular Arcs with Applications
603090	9	Secure Games with Polynomial Expressions
603091	9	Cryptographic Hardness Based on the Decoding of Reed-Solomon Codes
603095	9	Navigating with a Browser
603099	9	Approximation Algorithm for Directed Telephone Multicast Problem
603100	9	Strong Inapproximability of the Basic k-Spanner Problem
603101	9	The Quest for Small Universal Cellular Automata
603106	9	Stable Marriages with Multiple Partners: Efficient Search for an Optimal Solution
603112	9	On the Theory of One-Step Rewriting in Trace Monoids
603129	9	The Communication Complexity of Approximate Set Packing and Covering
603139	9	Approximation Hardness of TSP with Bounded Metrics
603147	9	The Computational Complexity of the Role Assignment Problem
603165	9	Comparing Functional Paradigms for Exact Real-Number Computation
603167	9	Conjunctive Types and Useless-code Elimination
603168	9	A Bound on the Capacity of Backoff and Acknowledgement-Based Protocols
603173	9	Monadic Second-Order Logics with Cardinalities
603177	9	Are Stochastic Process Algebras Good for Performance and Dependability Evaluation
603182	9	Performance Aspects of Distributed Caches Using TTL-Based Consistency
603187	9	Logic and Automata: A Match Made in Heaven
603192	9	Expansion Postponement via Cut Elimination in Sequent Calculi for Pure Type Systems
603193	9	Call Control in Rings
603209	9	New Bounds for Variable-Sized and Resource Augmented Online Bin Packing
603215	9	Approximation Hardness of Bounded Degree MIN-CSP and MIN-BISECTION
603217	9	Division Is in Uniform TC0
603235	9	Symbolic Strategy Synthesis for Games on Pushdown Graphs
603236	9	Generating Labeled Planar Graphs Uniformly at Random
603239	9	Higher Order Pushdown Automata, the Caucal Hierarchy of Graphs and Parity Games
603242	9	An omega-Complete Equational Specification of Interleaving
603246	9	Priority Queues, Pairing, and Adaptive Sorting
1253333	9	Selfish Unsplittable Flows
1270189	9	Syntactic Control of Concurrency
1302607	9	The Black-Box Complexity of Nearest Neighbor Search
1325145	9	The Essence of Principal Typings
